wals_code,name,latitude,longitude,genus,family,countrycodes,Glottocode,ASJP,glotFam,feature,value,comment,source,imputation
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Prefixing_vs._Suffixing_in_Inflectional_Morphology,4,Equal prefixing and suffixing,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Coding_of_Nominal_Plurality,6,Mixed morphological plural,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Definite_Articles,3,Definite affix,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Position_of_Case_Affixes,9,No case affixes or adpositional clitics,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Comitatives_and_Instrumentals,1,Identity,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Position_of_Pronominal_Possessive_Affixes,2,Possessive suffixes,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Noun_Phrase_Conjunction,2,'And' identical to 'with',dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Position_of_Tense-Aspect_Affixes,1,Tense-aspect prefixes,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,The_Morphological_Imperative,1,Second singular and second plural,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,The_Prohibitive,4,Special imperative + special negative,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,"Order_of_Subject,_Object_and_Verb",2,SVO,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Order_of_Subject_and_Verb,1,SV,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Order_of_Object_and_Verb,2,VO,dev,ESu.NILOTIC.ACHOLI
acl,Acholi,3.0,32.6666666667,Nilotic,Eastern Sudanic,US,acol1236,ESu.NILOTIC.ACHOLI,Nilotic,Order_of_Adposition_and_Noun_Phrase,2,Prepositions,dev,ESu.NILOTIC.ACHOLI
